GO_ID	name	namespace	observed	expected	fold_enrichment	p_value	total_study_annotations	background_size	p_fdr_bh	significant
GO:0097193	intrinsic apoptotic signaling pathway	biological_process	5	0.9210964607911173	5.428313116853763	0.0	39819	43230	0.0	True
GO:0034976	response to endoplasmic reticulum stress	biological_process	13	0.9210964607911173	14.113614103819785	0.0	39819	43230	0.0	True
GO:0065007	biological regulation	biological_process	358	0.9210964607911173	388.66721916672947	0.0	39819	43230	0.0	True
GO:0035556	intracellular signal transduction	biological_process	63	0.9210964607911173	68.39674527235742	0.0	39819	43230	0.0	True
GO:0050794	regulation of cellular process	biological_process	301	0.9210964607911173	326.78444963459657	0.0	39819	43230	0.0	True
GO:0006950	response to stress	biological_process	65	0.9210964607911173	70.56807051909892	0.0	39819	43230	0.0	True
GO:0097190	apoptotic signaling pathway	biological_process	5	0.9210964607911173	5.428313116853763	0.0	39819	43230	0.0	True
GO:0061695	transferase complex, transferring phosphorus-containing groups	cellular_component	20	0.9210964607911173	21.713252467415053	0.0	39819	43230	0.0	True
GO:0000428	DNA-directed RNA polymerase complex	cellular_component	2	0.9210964607911173	2.1713252467415054	0.0	39819	43230	0.0	True
GO:0030880	RNA polymerase complex	cellular_component	2	0.9210964607911173	2.1713252467415054	0.0	39819	43230	0.0	True
GO:0140535	intracellular protein-containing complex	cellular_component	31	0.9210964607911173	33.655541324493335	0.0	39819	43230	0.0	True
GO:0005739	mitochondrion	cellular_component	15	0.9210964607911173	16.284939350561288	0.0	39819	43230	0.0	True
GO:0140097	catalytic activity, acting on DNA	molecular_function	26	0.9210964607911173	28.22722820763957	0.0	39819	43230	0.0	True
GO:0034061	DNA polymerase activity	molecular_function	12	0.9210964607911173	13.027951480449032	0.0	39819	43230	0.0	True
GO:0016779	nucleotidyltransferase activity	molecular_function	21	0.9210964607911173	22.798915090785805	0.0	39819	43230	0.0	True
GO:0003964	RNA-directed DNA polymerase activity	molecular_function	11	0.9210964607911173	11.94228885707828	0.0	39819	43230	0.0	True
GO:0016746	acyltransferase activity	molecular_function	87	0.9210964607911173	94.45264823325547	0.0	39819	43230	0.0	True
GO:0004842	ubiquitin-protein transferase activity	molecular_function	24	0.9210964607911173	26.055902960898063	0.0	39819	43230	0.0	True
GO:0019787	ubiquitin-like protein transferase activity	molecular_function	24	0.9210964607911173	26.055902960898063	0.0	39819	43230	0.0	True
GO:0016755	aminoacyltransferase activity	molecular_function	24	0.9210964607911173	26.055902960898063	0.0	39819	43230	0.0	True
GO:0061659	ubiquitin-like protein ligase activity	molecular_function	18	0.9210964607911173	19.541927220673546	0.0	39819	43230	0.0	True
GO:0061630	ubiquitin protein ligase activity	molecular_function	18	0.9210964607911173	19.541927220673546	0.0	39819	43230	0.0	True
GO:0005737	cytoplasm	cellular_component	175	0.9210964607911173	189.99095908988173	0.0	39819	43230	0.0	True
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	molecular_function	7	0.9210964607911173	7.599638363595268	0.0	39819	43230	0.0	True
GO:0010556	regulation of macromolecule biosynthetic process	biological_process	74	0.9210964607911173	80.33903412943569	0.0	39819	43230	0.0	True
GO:0019222	regulation of metabolic process	biological_process	97	0.9210964607911173	105.309274466963	0.0	39819	43230	0.0	True
GO:0060255	regulation of macromolecule metabolic process	biological_process	88	0.9210964607911173	95.53831085662624	0.0	39819	43230	0.0	True
GO:0009889	regulation of biosynthetic process	biological_process	75	0.9210964607911173	81.42469675280645	0.0	39819	43230	0.0	True
