GO_ID	GO_Type	Study_Count	Study_Total	Population_Count	Population_Total	Fold_Enrichment	P_Value	Odds_Ratio	GO_Term	FDR_P_Value
GO:0022857	F	13	1080	69	8571	1.4952093397745572	0.08771638569096718	1.6176027580666756	transmembrane transporter activity	0.3586883889649028
GO:0019901	F	4	1080	14	8571	2.2674603174603174	0.08924582568926226	2.7810408921933085	protein kinase binding	0.3586883889649028
GO:0035591	F	3	1080	9	8571	2.64537037037037	0.09357387573103057	3.4749303621169916	signaling adaptor activity	0.3586883889649028
GO:0031491	F	3	1080	9	8571	2.64537037037037	0.09357387573103057	3.4749303621169916	nucleosome binding	0.3586883889649028
GO:0046872	F	67	1080	459	8571	1.1584301621883322	0.10668389091883668	1.197778370973266	metal ion binding	0.3586883889649028
GO:0005525	F	23	1080	140	8571	1.3037896825396824	0.10860621504332447	1.3714188681076098	GTP binding	0.3586883889649028
GO:0015020	F	4	1080	15	8571	2.1162962962962966	0.11008975645525705	2.5278810408921935	glucuronosyltransferase activity	0.3586883889649028
GO:0004144	F	4	1080	15	8571	2.1162962962962966	0.11008975645525705	2.5278810408921935	diacylglycerol O-acyltransferase activity	0.3586883889649028
GO:0015179	F	4	1080	15	8571	2.1162962962962966	0.11008975645525705	2.5278810408921935	L-amino acid transmembrane transporter activity	0.3586883889649028
GO:0004672	F	5	1080	21	8571	1.8895502645502646	0.11518279561334724	2.17296511627907	protein kinase activity	0.3586883889649028
GO:0003777	F	3	1080	10	8571	2.380833333333333	0.12162131752231042	2.9781138081973735	microtubule motor activity	0.3586883889649028
GO:0016616	F	3	1080	10	8571	2.380833333333333	0.12162131752231042	2.9781138081973735	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	0.3586883889649028
GO:0030971	F	2	1080	5	8571	3.174444444444444	0.12236805045714504	4.630797773654916	receptor tyrosine kinase binding	0.3586883889649028
GO:0008525	F	2	1080	5	8571	3.174444444444444	0.12236805045714504	4.630797773654916	phosphatidylcholine transporter activity	0.3586883889649028
GO:0016717	F	2	1080	5	8571	3.174444444444444	0.12236805045714504	4.630797773654916	oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water	0.3586883889649028
GO:0004989	F	2	1080	5	8571	3.174444444444444	0.12236805045714504	4.630797773654916	octopamine receptor activity	0.3586883889649028
GO:0019706	F	2	1080	5	8571	3.174444444444444	0.12236805045714504	4.630797773654916	protein-cysteine S-palmitoyltransferase activity	0.3586883889649028
GO:0008081	F	2	1080	5	8571	3.174444444444444	0.12236805045714504	4.630797773654916	phosphoric diester hydrolase activity	0.3586883889649028
GO:0060090	F	2	1080	5	8571	3.174444444444444	0.12236805045714504	4.630797773654916	molecular adaptor activity	0.3586883889649028
GO:0008353	F	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	RNA polymerase II CTD heptapeptide repeat kinase activity	0.3586883889649028
GO:0030160	F	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	synaptic receptor adaptor activity	0.3586883889649028
GO:0106073	F	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	dolichyl pyrophosphate Glc2Man9GlcNAc2 alpha-1,2-glucosyltransferase activity	0.3586883889649028
GO:0003988	F	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	acetyl-CoA C-acyltransferase activity	0.3586883889649028
GO:0004801	F	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	transaldolase activity	0.3586883889649028
GO:0004517	F	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	nitric-oxide synthase activity	0.3586883889649028
GO:0141039	F	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	phosphatidylinositol 3-kinase inhibitor activity	0.3586883889649028
GO:1990275	F	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	preribosome binding	0.3586883889649028
GO:0004421	F	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	hydroxymethylglutaryl-CoA synthase activity	0.3586883889649028
GO:0050633	F	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	acetyl-CoA C-myristoyltransferase activity	0.3586883889649028
GO:0016743	F	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	carboxyl- or carbamoyltransferase activity	0.3586883889649028
GO:0004609	F	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	phosphatidylserine decarboxylase activity	0.3586883889649028
GO:0004679	F	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	AMP-activated protein kinase activity	0.3586883889649028
GO:0004577	F	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	N-acetylglucosaminyldiphosphodolichol N-acetylglucosaminyltransferase activity	0.3586883889649028
GO:0017111	F	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	ribonucleoside triphosphate phosphatase activity	0.3586883889649028
GO:0004642	F	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	phosphoribosylformylglycinamidine synthase activity	0.3586883889649028
GO:0072544	F	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	L-DOPA binding	0.3586883889649028
GO:0042923	F	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	neuropeptide binding	0.3586883889649028
GO:0002058	F	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	uracil binding	0.3586883889649028
GO:0004508	F	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	steroid 17-alpha-monooxygenase activity	0.3586883889649028
GO:0036430	F	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	CMP kinase activity	0.3586883889649028
GO:0004560	F	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	alpha-L-fucosidase activity	0.3586883889649028
GO:0004830	F	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	tryptophan-tRNA ligase activity	0.3586883889649028
GO:0017113	F	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	dihydropyrimidine dehydrogenase (NADP+) activity	0.3586883889649028
GO:0004350	F	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	glutamate-5-semialdehyde dehydrogenase activity	0.3586883889649028
GO:0016936	F	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	galactoside binding	0.3586883889649028
GO:0005412	F	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	D-glucose:sodium symporter activity	0.3586883889649028
GO:0008047	F	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	enzyme activator activity	0.3586883889649028
GO:0004637	F	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	phosphoribosylamine-glycine ligase activity	0.3586883889649028
GO:0120501	F	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	F-actin monooxygenase activity	0.3586883889649028
GO:0072545	F	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	L-tyrosine binding	0.3586883889649028
GO:0033787	F	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	cyanocobalamin reductase (cyanide-eliminating) (NADP+) activity	0.3586883889649028
GO:0004610	F	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	phosphoacetylglucosamine mutase activity	0.3586883889649028
GO:0003691	F	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	double-stranded telomeric DNA binding	0.3586883889649028
GO:0004641	F	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	phosphoribosylformylglycinamidine cyclo-ligase activity	0.3586883889649028
GO:0004587	F	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	ornithine aminotransferase activity	0.3586883889649028
GO:0033862	F	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	UMP kinase activity	0.3586883889649028
GO:0071858	F	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	corazonin receptor binding	0.3586883889649028
GO:0044389	F	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	ubiquitin-like protein ligase binding	0.3586883889649028
GO:0035643	F	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	L-DOPA receptor activity	0.3586883889649028
GO:0140949	F	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	histone H3K9 trimethyltransferase activity	0.3586883889649028
GO:0003972	F	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	RNA ligase (ATP) activity	0.3586883889649028
GO:0017050	F	1	1080	1	8571	7.936111111111111	0.12600630031501575	inf	D-erythro-sphingosine kinase activity	0.3586883889649028
